,Height,Weight,Sport
12540,190.0,88.0,Basketball
12574,182.0,77.0,Basketball
12710,193.0,92.0,Basketball
12772,206.0,118.0,Basketball
12778,191.0,70.0,Basketball
12839,176.0,67.0,Basketball
12888,196.0,85.0,Basketball
12944,207.0,109.0,Basketball
13153,190.0,83.0,Basketball
13439,172.0,64.0,Basketball
13663,178.0,68.0,Basketball
13685,192.0,89.0,Basketball
13686,192.0,89.0,Basketball
13857,178.0,66.0,Basketball
13884,190.0,86.0,Basketball
13885,190.0,86.0,Basketball
13894,204.0,104.0,Basketball
13949,183.0,70.0,Basketball
14037,203.0,93.0,Basketball
14132,217.0,110.0,Basketball
14220,192.0,80.0,Basketball
14221,192.0,80.0,Basketball
14222,192.0,80.0,Basketball
14431,194.0,97.0,Basketball
14432,194.0,97.0,Basketball
14555,190.0,78.0,Basketball
14607,200.0,93.0,Basketball
14608,200.0,93.0,Basketball
14629,188.0,84.0,Basketball
14656,198.0,114.0,Basketball
14657,198.0,114.0,Basketball
14670,198.0,91.0,Basketball
14696,205.0,97.0,Basketball
14697,205.0,97.0,Basketball
14735,175.0,61.0,Basketball
14744,203.0,102.0,Basketball
14746,201.0,109.0,Basketball
14803,198.0,86.0,Basketball
14896,183.0,78.0,Basketball
15010,188.0,73.0,Basketball
15026,195.0,95.0,Basketball
15115,183.0,75.0,Basketball
15235,175.0,64.0,Basketball
15465,174.0,65.0,Basketball
15569,168.0,67.0,Basketball
15570,168.0,67.0,Basketball
15670,209.0,108.0,Basketball
15686,192.0,94.0,Basketball
15687,192.0,94.0,Basketball
15709,181.0,74.0,Basketball
15872,174.0,75.0,Basketball
15934,195.0,89.0,Basketball
15935,195.0,89.0,Basketball
15936,195.0,89.0,Basketball
16063,203.0,105.0,Basketball
16064,203.0,105.0,Basketball
16268,193.0,89.0,Basketball
16397,186.0,84.0,Basketball
16398,186.0,84.0,Basketball
16473,186.0,83.0,Basketball
16632,208.0,115.0,Basketball
16633,208.0,115.0,Basketball
16689,190.0,79.0,Basketball
16690,190.0,79.0,Basketball
16862,178.0,79.0,Basketball
17115,185.0,75.0,Basketball
17149,183.0,75.0,Basketball
17361,183.0,76.0,Basketball
17669,221.0,114.0,Basketball
17764,180.0,71.0,Basketball
17779,196.0,90.0,Basketball
17889,185.0,70.0,Basketball
17924,198.0,87.0,Basketball
17928,185.0,75.0,Basketball
18219,205.0,107.0,Basketball
18228,211.0,98.0,Basketball
18470,200.0,100.0,Basketball
18471,200.0,100.0,Basketball
18476,190.0,82.0,Basketball
18477,190.0,82.0,Basketball
18478,190.0,82.0,Basketball
18479,190.0,82.0,Basketball
18567,182.0,71.0,Basketball
18724,204.0,102.0,Basketball
18766,189.0,92.0,Basketball
18835,198.0,103.0,Basketball
18836,198.0,103.0,Basketball
18855,213.0,105.0,Basketball
19101,190.0,88.0,Basketball
19636,203.0,110.0,Basketball
20094,198.0,92.0,Basketball
20136,194.0,80.0,Basketball
20137,194.0,80.0,Basketball
20306,175.0,68.0,Basketball
20307,175.0,68.0,Basketball
20608,184.0,74.0,Basketball
20637,200.0,91.0,Basketball
20639,179.0,68.0,Basketball
20655,190.0,86.0,Basketball
20789,190.0,91.0,Basketball
21002,207.0,104.0,Basketball
21003,207.0,104.0,Basketball
21004,207.0,104.0,Basketball
21049,165.0,66.0,Basketball
21295,180.0,73.0,Basketball
21296,180.0,73.0,Basketball
21394,179.0,76.0,Basketball
21571,171.0,58.0,Basketball
21577,214.0,117.0,Basketball
21578,214.0,117.0,Basketball
21579,214.0,117.0,Basketball
21728,213.0,121.0,Basketball
21737,198.0,99.0,Basketball
22057,206.0,94.0,Basketball
22109,196.0,96.0,Basketball
22110,196.0,96.0,Basketball
22111,196.0,96.0,Basketball
22125,210.0,104.0,Basketball
22150,205.0,100.0,Basketball
22154,175.0,66.0,Basketball
22155,175.0,66.0,Basketball
22156,175.0,66.0,Basketball
22157,175.0,66.0,Basketball
22192,194.0,84.0,Basketball
22193,194.0,84.0,Basketball
22301,198.0,90.0,Basketball
22374,189.0,85.0,Basketball
22390,193.0,86.0,Basketball
22446,200.0,94.0,Basketball
22447,200.0,94.0,Basketball
22545,192.0,77.0,Basketball
22743,218.0,110.0,Basketball
22744,218.0,110.0,Basketball
22858,186.0,76.0,Basketball
22859,186.0,76.0,Basketball
22873,188.0,82.0,Basketball
22997,174.0,61.0,Basketball
23086,185.0,77.0,Basketball
23093,178.0,60.0,Basketball
23221,204.0,75.0,Basketball
23228,206.0,98.0,Basketball
23316,191.0,81.0,Basketball
23356,181.0,76.0,Basketball
23357,181.0,76.0,Basketball
23495,195.0,91.0,Basketball
23496,195.0,91.0,Basketball
23630,191.0,90.0,Basketball
23702,208.0,113.0,Basketball
23790,200.0,100.0,Basketball
23792,186.0,83.0,Basketball
23793,186.0,83.0,Basketball
23797,190.0,85.0,Basketball
24004,173.0,68.0,Basketball
24024,205.0,110.0,Basketball
24025,205.0,110.0,Basketball
24026,205.0,110.0,Basketball
24150,188.0,87.0,Basketball
24249,190.0,82.0,Basketball
24283,182.0,73.0,Basketball
24284,182.0,73.0,Basketball
24291,197.0,99.0,Basketball
24292,200.0,103.0,Basketball
24415,213.0,122.0,Basketball
24416,213.0,122.0,Basketball
24417,213.0,122.0,Basketball
24430,192.0,82.0,Basketball
24431,192.0,82.0,Basketball
24623,192.0,82.0,Basketball
24666,188.0,86.0,Basketball
24667,183.0,74.0,Basketball
24674,183.0,75.0,Basketball
24848,205.0,105.0,Basketball
24917,173.0,68.0,Basketball
24918,173.0,68.0,Basketball
25000,200.0,94.0,Basketball
25001,200.0,94.0,Basketball
25027,201.0,95.0,Basketball
25188,175.0,63.0,Basketball
25462,188.0,79.0,Basketball
25479,180.0,72.0,Basketball
25495,210.0,115.0,Basketball
25597,203.0,99.0,Basketball
25598,206.0,117.0,Basketball
25599,206.0,117.0,Basketball
25721,175.0,65.0,Basketball
25997,208.0,117.0,Basketball
25998,208.0,117.0,Basketball
25999,208.0,117.0,Basketball
26000,208.0,117.0,Basketball
26106,190.0,78.0,Basketball
26107,190.0,78.0,Basketball
26244,195.0,95.0,Basketball
26398,208.0,104.0,Basketball
26516,183.0,78.0,Basketball
26723,185.0,74.0,Basketball
26741,173.0,64.0,Basketball
26770,196.0,98.0,Basketball
26795,187.0,74.0,Basketball
26796,187.0,74.0,Basketball
27196,215.0,108.0,Basketball
27222,195.0,95.0,Basketball
27429,210.0,105.0,Basketball
27576,187.0,80.0,Basketball
27615,185.0,80.0,Basketball
27616,185.0,80.0,Basketball
27923,193.0,76.0,Basketball
27924,193.0,76.0,Basketball
27925,193.0,81.0,Basketball
27926,193.0,81.0,Basketball
27927,193.0,81.0,Basketball
28004,196.0,93.0,Basketball
28025,208.0,106.0,Basketball
28037,209.0,120.0,Basketball
28038,209.0,120.0,Basketball
28039,209.0,120.0,Basketball
28040,209.0,120.0,Basketball
28160,170.0,68.0,Basketball
28340,200.0,92.0,Basketball
28366,182.0,74.0,Basketball
28439,192.0,83.0,Basketball
28567,204.0,108.0,Basketball
28720,190.0,89.0,Basketball
29020,206.0,100.0,Basketball
29238,180.0,87.0,Basketball
29623,201.0,93.0,Basketball
29646,186.0,80.0,Basketball
29647,186.0,80.0,Basketball
29649,177.0,70.0,Basketball
29706,170.0,62.0,Basketball
29707,170.0,62.0,Basketball
29708,170.0,62.0,Basketball
30012,188.0,75.0,Basketball
30048,208.0,100.0,Basketball
30049,208.0,100.0,Basketball
30131,178.0,73.0,Basketball
30513,190.0,88.0,Basketball
30514,190.0,88.0,Basketball
30519,191.0,90.0,Basketball
30555,191.0,80.0,Basketball
30556,191.0,80.0,Basketball
30737,180.0,70.0,Basketball
30738,180.0,70.0,Basketball
30771,200.0,84.0,Basketball
30788,188.0,83.0,Basketball
30789,188.0,83.0,Basketball
30847,198.0,100.0,Basketball
30848,198.0,100.0,Basketball
30966,186.0,85.0,Basketball
31328,190.0,92.0,Basketball
31474,197.0,95.0,Basketball
31475,197.0,95.0,Basketball
31496,185.0,85.0,Basketball
31497,185.0,85.0,Basketball
31748,185.0,80.0,Basketball
31881,188.0,82.0,Basketball
31882,190.0,62.0,Basketball
31883,190.0,62.0,Basketball
31954,190.0,86.0,Basketball
31955,190.0,86.0,Basketball
31956,190.0,86.0,Basketball
32108,183.0,77.0,Basketball
32238,195.0,87.0,Basketball
32376,223.0,102.0,Basketball
32613,194.0,76.0,Basketball
32652,174.0,62.0,Basketball
32662,175.0,66.0,Basketball
32663,175.0,66.0,Basketball
32664,175.0,66.0,Basketball
32900,201.0,99.0,Basketball
32903,189.0,80.0,Basketball
32993,175.0,65.0,Basketball
33109,180.0,68.0,Basketball
33110,180.0,68.0,Basketball
33137,182.0,87.0,Basketball
33182,193.0,92.0,Basketball
33311,183.0,72.0,Basketball
33405,188.0,72.0,Basketball
33430,200.0,92.0,Basketball
33431,200.0,92.0,Basketball
33432,200.0,92.0,Basketball
33433,200.0,92.0,Basketball
33473,190.0,76.0,Basketball
33474,190.0,76.0,Basketball
33476,177.0,80.0,Basketball
33560,190.0,86.0,Basketball
33584,195.0,89.0,Basketball
33628,182.0,60.0,Basketball
33772,191.0,90.0,Basketball
33773,191.0,90.0,Basketball
33774,191.0,90.0,Basketball
33775,191.0,90.0,Basketball
33780,183.0,79.0,Basketball
33781,183.0,79.0,Basketball
33782,183.0,79.0,Basketball
33801,196.0,89.0,Basketball
33819,204.0,88.0,Basketball
34061,185.0,75.0,Basketball
34107,185.0,73.0,Basketball
34108,185.0,73.0,Basketball
34144,203.0,98.0,Basketball
34145,203.0,98.0,Basketball
34218,200.0,130.0,Basketball
34219,200.0,130.0,Basketball
34296,181.0,85.0,Basketball
34297,181.0,85.0,Basketball
34307,218.0,93.0,Basketball
34308,218.0,93.0,Basketball
34348,188.0,84.0,Basketball
34482,180.0,72.0,Basketball
34579,167.0,67.0,Basketball
34639,190.0,84.0,Basketball
34640,190.0,84.0,Basketball
34641,190.0,84.0,Basketball
34758,188.0,85.0,Basketball
34759,188.0,85.0,Basketball
34761,180.0,82.0,Basketball
34762,180.0,82.0,Basketball
34763,180.0,82.0,Basketball
34772,190.0,76.0,Basketball
34773,190.0,76.0,Basketball
35141,187.0,90.0,Basketball
35274,179.0,61.0,Basketball
35335,180.0,77.0,Basketball
35418,188.0,73.0,Basketball
35419,188.0,73.0,Basketball
35920,200.0,100.0,Basketball
35977,200.0,102.0,Basketball
36102,175.0,75.0,Basketball
36174,195.0,92.0,Basketball
36175,195.0,92.0,Basketball
36278,183.0,95.0,Basketball
36316,195.0,102.0,Basketball
36541,177.0,63.0,Basketball
36574,185.0,74.0,Basketball
36575,185.0,74.0,Basketball
36580,192.0,86.0,Basketball
36581,192.0,86.0,Basketball
36585,188.0,83.0,Basketball
36682,196.0,89.0,Basketball
36870,175.0,72.0,Basketball
36871,175.0,72.0,Basketball
36909,188.0,69.0,Basketball
37035,185.0,77.0,Basketball
37036,185.0,77.0,Basketball
37037,185.0,77.0,Basketball
37038,185.0,77.0,Basketball
37072,202.0,100.0,Basketball
37073,202.0,100.0,Basketball
37144,193.0,90.0,Basketball
37364,178.0,72.0,Basketball
37405,196.0,90.0,Basketball
37406,196.0,90.0,Basketball
37506,193.0,83.0,Basketball
37508,201.0,86.0,Basketball
37717,194.0,83.0,Basketball
37739,190.0,92.0,Basketball
37740,190.0,92.0,Basketball
37891,188.0,82.0,Basketball
38166,178.0,65.0,Basketball
38380,165.0,63.0,Basketball
38381,216.0,107.0,Basketball
38602,195.0,97.0,Basketball
38603,195.0,97.0,Basketball
38604,195.0,97.0,Basketball
38662,190.0,64.0,Basketball
38679,193.0,88.0,Basketball
38680,193.0,88.0,Basketball
38764,170.0,64.0,Basketball
38948,190.0,81.0,Basketball
39018,175.0,69.0,Basketball
39112,166.0,58.0,Basketball
39113,166.0,58.0,Basketball
39169,188.0,89.0,Basketball
39170,188.0,89.0,Basketball
39283,187.0,73.0,Basketball
39284,187.0,73.0,Basketball
39311,204.0,104.0,Basketball
39343,188.0,73.0,Basketball
39352,195.0,94.0,Basketball
39353,195.0,94.0,Basketball
39354,195.0,94.0,Basketball
39355,195.0,94.0,Basketball
39430,182.0,68.0,Basketball
39432,193.0,78.0,Basketball
39433,193.0,78.0,Basketball
39497,205.0,104.0,Basketball
40095,210.0,118.0,Basketball
40096,210.0,118.0,Basketball
40265,187.0,78.0,Basketball
40266,187.0,78.0,Basketball
40280,197.0,95.0,Basketball
40442,195.0,93.0,Basketball
40584,176.0,68.0,Basketball
40639,187.0,76.0,Basketball
40698,168.0,60.0,Basketball
40708,179.0,76.0,Basketball
40745,166.0,61.0,Basketball
40746,166.0,61.0,Basketball
40813,188.0,80.0,Basketball
40934,170.0,62.0,Basketball
40984,192.0,92.0,Basketball
40985,192.0,92.0,Basketball
41154,190.0,90.0,Basketball
41403,187.0,78.0,Basketball
41445,183.0,70.0,Basketball
41446,183.0,70.0,Basketball
41557,181.0,67.0,Basketball
41688,197.0,89.0,Basketball
41714,182.0,84.0,Basketball
41715,182.0,84.0,Basketball
41838,169.0,65.0,Basketball
41940,195.0,83.0,Basketball
41941,195.0,83.0,Basketball
41942,195.0,83.0,Basketball
42013,194.0,92.0,Basketball
42014,194.0,92.0,Basketball
42070,181.0,71.0,Basketball
42075,196.0,87.0,Basketball
42236,210.0,110.0,Basketball
42401,187.0,83.0,Basketball
42438,183.0,66.0,Basketball
42469,192.0,84.0,Basketball
42470,170.0,67.0,Basketball
42471,170.0,67.0,Basketball
42528,206.0,107.0,Basketball
42529,206.0,107.0,Basketball
42540,193.0,91.0,Basketball
42646,180.0,73.0,Basketball
43020,174.0,69.0,Basketball
43045,179.0,71.0,Basketball
43046,179.0,71.0,Basketball
43227,190.0,95.0,Basketball
43232,200.0,78.0,Basketball
43233,200.0,78.0,Basketball
43234,200.0,78.0,Basketball
43240,180.0,90.0,Basketball
43320,204.0,89.0,Basketball
43374,185.0,79.0,Basketball
43406,194.0,88.0,Basketball
43407,194.0,88.0,Basketball
43436,196.0,86.0,Basketball
43522,178.0,78.0,Basketball
43548,198.0,82.0,Basketball
43577,168.0,63.0,Basketball
43610,203.0,110.0,Basketball
43690,201.0,85.0,Basketball
43785,186.0,75.0,Basketball
43857,175.0,65.0,Basketball
43858,175.0,65.0,Basketball
43979,166.0,58.0,Basketball
43980,166.0,58.0,Basketball
43981,166.0,58.0,Basketball
44353,178.0,69.0,Basketball
44354,178.0,69.0,Basketball
44455,178.0,68.0,Basketball
44456,178.0,68.0,Basketball
44646,175.0,69.0,Basketball
44654,182.0,84.0,Basketball
44655,182.0,84.0,Basketball
44656,182.0,84.0,Basketball
44748,196.0,86.0,Basketball
45059,167.0,60.0,Basketball
45079,209.0,94.0,Basketball
45080,209.0,94.0,Basketball
45081,209.0,94.0,Basketball
45082,209.0,94.0,Basketball
45103,180.0,76.0,Basketball
45124,192.0,80.0,Basketball
45152,187.0,94.0,Basketball
45153,187.0,94.0,Basketball
45154,187.0,94.0,Basketball
45183,190.0,87.0,Basketball
45214,185.0,82.0,Basketball
45350,184.0,72.0,Basketball
45351,184.0,72.0,Basketball
45448,213.0,102.0,Basketball
45521,210.0,122.0,Basketball
45589,172.0,71.0,Basketball
45716,196.0,95.0,Basketball
45722,182.0,83.0,Basketball
45958,193.0,88.0,Basketball
46212,179.0,61.0,Basketball
46450,206.0,92.0,Basketball
46451,206.0,92.0,Basketball
46452,206.0,92.0,Basketball
46558,178.0,80.0,Basketball
46559,176.0,60.0,Basketball
46580,185.0,77.0,Basketball
46617,200.0,81.0,Basketball
46618,200.0,81.0,Basketball
46619,200.0,81.0,Basketball
46620,200.0,81.0,Basketball
46621,200.0,81.0,Basketball
46628,187.0,76.0,Basketball
46733,195.0,85.0,Basketball
46886,183.0,79.0,Basketball
46984,180.0,80.0,Basketball
47254,190.0,70.0,Basketball
47264,185.0,79.0,Basketball
47336,185.0,74.0,Basketball
47479,202.0,97.0,Basketball
47501,196.0,92.0,Basketball
47502,196.0,92.0,Basketball
47505,199.0,90.0,Basketball
47506,199.0,90.0,Basketball
47610,181.0,72.0,Basketball
47629,194.0,81.0,Basketball
47659,190.0,83.0,Basketball
47784,198.0,100.0,Basketball
47858,171.0,69.0,Basketball
47982,217.0,106.0,Basketball
48006,195.0,88.0,Basketball
48014,202.0,109.0,Basketball
48048,183.0,70.0,Basketball
48051,173.0,63.0,Basketball
48427,185.0,68.0,Basketball
48445,183.0,70.0,Basketball
48447,198.0,89.0,Basketball
48448,198.0,89.0,Basketball
48461,197.0,95.0,Basketball
48462,197.0,95.0,Basketball
48463,197.0,95.0,Basketball
48545,192.0,90.0,Basketball
48547,194.0,100.0,Basketball
48548,194.0,100.0,Basketball
48549,194.0,100.0,Basketball
48563,202.0,105.0,Basketball
48564,202.0,105.0,Basketball
48594,182.0,73.0,Basketball
48595,182.0,73.0,Basketball
48621,168.0,68.0,Basketball
48705,204.0,106.0,Basketball
48728,202.0,88.0,Basketball
48798,201.0,105.0,Basketball
48827,183.0,80.0,Basketball
48828,183.0,80.0,Basketball
48829,183.0,80.0,Basketball
48932,178.0,86.0,Basketball
49015,183.0,70.0,Basketball
49045,201.0,99.0,Basketball
49046,201.0,99.0,Basketball
49137,192.0,80.0,Basketball
49138,192.0,80.0,Basketball
49147,195.0,95.0,Basketball
49276,203.0,102.0,Basketball
49526,190.0,75.0,Basketball
49571,180.0,76.0,Basketball
49573,190.0,85.0,Basketball
49650,190.0,84.0,Basketball
49691,178.0,69.0,Basketball
49720,186.0,80.0,Basketball
49732,198.0,88.0,Basketball
49733,198.0,88.0,Basketball
49805,208.0,100.0,Basketball
49813,185.0,73.0,Basketball
49880,180.0,82.0,Basketball
49938,195.0,86.0,Basketball
50327,195.0,94.0,Basketball
50581,193.0,89.0,Basketball
50582,193.0,89.0,Basketball
50583,193.0,89.0,Basketball
50584,193.0,89.0,Basketball
50647,196.0,91.0,Basketball
50648,196.0,91.0,Basketball
51085,205.0,89.0,Basketball
51086,205.0,89.0,Basketball
51107,193.0,105.0,Basketball
51122,200.0,96.0,Basketball
51123,200.0,96.0,Basketball
51144,185.0,80.0,Basketball
51257,203.0,91.0,Basketball
51258,203.0,91.0,Basketball
51259,208.0,88.0,Basketball
51263,179.0,82.0,Basketball
51340,185.0,83.0,Basketball
51462,205.0,111.0,Basketball
51829,187.0,79.0,Basketball
52388,197.0,107.0,Basketball
52481,201.0,93.0,Basketball
52626,180.0,81.0,Basketball
52765,179.0,63.0,Basketball
52839,198.0,87.0,Basketball
53099,196.0,95.0,Basketball
53100,196.0,95.0,Basketball
53101,196.0,95.0,Basketball
53102,196.0,95.0,Basketball
53195,166.0,62.0,Basketball
53199,209.0,105.0,Basketball
53202,197.0,86.0,Basketball
53203,197.0,86.0,Basketball
53263,204.0,102.0,Basketball
53264,204.0,102.0,Basketball
53291,193.0,89.0,Basketball
53292,193.0,89.0,Basketball
53294,195.0,86.0,Basketball
53649,183.0,82.0,Basketball
53760,206.0,104.0,Basketball
53987,190.0,80.0,Basketball
54032,206.0,105.0,Basketball
54056,180.0,69.0,Basketball
54057,180.0,69.0,Basketball
54075,201.0,99.0,Basketball
54245,182.0,82.0,Basketball
54275,187.0,84.0,Basketball
54511,190.0,80.0,Basketball
54876,196.0,82.0,Basketball
54921,196.0,82.0,Basketball
54926,178.0,65.0,Basketball
54958,196.0,92.0,Basketball
54959,196.0,92.0,Basketball
54976,179.0,73.0,Basketball
54985,198.0,90.0,Basketball
55011,199.0,108.0,Basketball
55012,199.0,108.0,Basketball
55013,199.0,108.0,Basketball
55037,203.0,115.0,Basketball
55038,203.0,115.0,Basketball
55043,201.0,102.0,Basketball
55264,187.0,84.0,Basketball
55265,187.0,84.0,Basketball
55428,167.0,58.0,Basketball
55440,167.0,60.0,Basketball
55603,190.0,82.0,Basketball
55670,206.0,100.0,Basketball
55718,185.0,79.0,Basketball
55719,185.0,79.0,Basketball
55738,204.0,95.0,Basketball
55864,178.0,68.0,Basketball
55921,204.0,100.0,Basketball
55928,200.0,91.0,Basketball
55942,180.0,67.0,Basketball
55971,206.0,115.0,Basketball
55972,206.0,115.0,Basketball
56028,194.0,84.0,Basketball
56035,187.0,70.0,Basketball
56036,187.0,70.0,Basketball
56037,185.0,60.0,Basketball
56038,185.0,60.0,Basketball
56043,193.0,86.0,Basketball
56051,185.0,75.0,Basketball
56054,170.0,70.0,Basketball
56063,196.0,90.0,Basketball
56064,195.0,75.0,Basketball
56093,198.0,86.0,Basketball
56213,213.0,110.0,Basketball
56214,213.0,110.0,Basketball
56267,190.0,75.0,Basketball
56621,192.0,80.0,Basketball
56622,192.0,80.0,Basketball
56722,192.0,90.0,Basketball
56889,193.0,90.0,Basketball
56979,198.0,90.0,Basketball
57083,192.0,88.0,Basketball
57084,192.0,88.0,Basketball
57106,187.0,96.0,Basketball
57148,167.0,64.0,Basketball
57434,203.0,62.0,Basketball
57435,203.0,62.0,Basketball
57517,210.0,102.0,Basketball
57572,209.0,118.0,Basketball
57573,209.0,118.0,Basketball
57578,192.0,85.0,Basketball
57679,196.0,95.0,Basketball
57680,196.0,95.0,Basketball
57755,183.0,89.0,Basketball
57756,183.0,89.0,Basketball
58091,212.0,110.0,Basketball
58092,212.0,110.0,Basketball
58093,212.0,110.0,Basketball
58097,194.0,82.0,Basketball
58099,167.0,51.0,Basketball
58150,185.0,75.0,Basketball
58250,202.0,105.0,Basketball
58326,188.0,90.0,Basketball
58364,181.0,75.0,Basketball
58388,191.0,91.0,Basketball
58395,174.0,58.0,Basketball
58563,180.0,74.0,Basketball
58564,180.0,74.0,Basketball
58646,200.0,101.0,Basketball
58748,211.0,102.0,Basketball
58749,211.0,102.0,Basketball
58826,190.0,80.0,Basketball
58827,190.0,80.0,Basketball
58964,207.0,92.0,Basketball
58965,207.0,92.0,Basketball
59039,190.0,88.0,Basketball
59050,197.0,88.0,Basketball
59055,206.0,89.0,Basketball
59056,202.0,91.0,Basketball
59156,194.0,67.0,Basketball
59371,221.0,137.0,Basketball
59372,221.0,137.0,Basketball
59466,178.0,70.0,Basketball
59572,183.0,83.0,Basketball
